date_epicrv,cases
2020-01-11 00:00:00+00:00,41
2020-01-12 00:00:00+00:00,0
2020-01-13 00:00:00+00:00,1
2020-01-14 00:00:00+00:00,1
2020-01-15 00:00:00+00:00,0
2020-01-16 00:00:00+00:00,0
2020-01-17 00:00:00+00:00,5
2020-01-18 00:00:00+00:00,18
2020-01-19 00:00:00+00:00,60
2020-01-20 00:00:00+00:00,78
2020-01-21 00:00:00+00:00,93
2020-01-22 00:00:00+00:00,152
2020-01-23 00:00:00+00:00,133
2020-01-24 00:00:00+00:00,272
2020-01-25 00:00:00+00:00,469
2020-01-26 00:00:00+00:00,698
2020-01-27 00:00:00+00:00,785
2020-01-28 00:00:00+00:00,1789
2020-01-29 00:00:00+00:00,1481
2020-01-30 00:00:00+00:00,1760
2020-01-31 00:00:00+00:00,2011
2020-02-01 00:00:00+00:00,2115
2020-02-02 00:00:00+00:00,2597
2020-02-03 00:00:00+00:00,2832
2020-02-04 00:00:00+00:00,3258
2020-02-05 00:00:00+00:00,3914
2020-02-06 00:00:00+00:00,3722
2020-02-07 00:00:00+00:00,3201
2020-02-08 00:00:00+00:00,3413
2020-02-09 00:00:00+00:00,2670
2020-02-10 00:00:00+00:00,3058
2020-02-11 00:00:00+00:00,2482
2020-02-12 00:00:00+00:00,2066
2020-02-13 00:00:00+00:00,15212
2020-02-14 00:00:00+00:00,4068
2020-02-15 00:00:00+00:00,2732
2020-02-16 00:00:00+00:00,2090
2020-02-17 00:00:00+00:00,2161
2020-02-18 00:00:00+00:00,1993
2020-02-19 00:00:00+00:00,1856
2020-02-20 00:00:00+00:00,486
2020-02-21 00:00:00+00:00,1044
2020-02-22 00:00:00+00:00,1109
2020-02-23 00:00:00+00:00,1020
2020-02-24 00:00:00+00:00,619
2020-02-25 00:00:00+00:00,825
2020-02-26 00:00:00+00:00,927
2020-02-27 00:00:00+00:00,1376
2020-02-28 00:00:00+00:00,1431
2020-02-29 00:00:00+00:00,1827
2020-03-01 00:00:00+00:00,1880
2020-03-02 00:00:00+00:00,2296
2020-03-03 00:00:00+00:00,2293
2020-03-04 00:00:00+00:00,2197
2020-03-05 00:00:00+00:00,2726
2020-03-06 00:00:00+00:00,3911
2020-03-07 00:00:00+00:00,3809
2020-03-08 00:00:00+00:00,3931
2020-03-09 00:00:00+00:00,4332
2020-03-10 00:00:00+00:00,4460
2020-03-11 00:00:00+00:00,6315
2020-03-12 00:00:00+00:00,6682
2020-03-13 00:00:00+00:00,10153
2020-03-14 00:00:00+00:00,11793
2020-03-15 00:00:00+00:00,12472
2020-03-16 00:00:00+00:00,10749
2020-03-17 00:00:00+00:00,15523
2020-03-18 00:00:00+00:00,18365
2020-03-19 00:00:00+00:00,24256
2020-03-20 00:00:00+00:00,32003
2020-03-21 00:00:00+00:00,26069
2020-03-22 00:00:00+00:00,1944
2020-03-23 00:00:00+00:00,40898
2020-03-24 00:00:00+00:00,51862
2020-03-25 00:00:00+00:00,29810
2020-03-26 00:00:00+00:00,54655
2020-03-27 00:00:00+00:00,41366
2020-03-28 00:00:00+00:00,62724
2020-03-29 00:00:00+00:00,62705
2020-03-30 00:00:00+00:00,59160
2020-03-31 00:00:00+00:00,57643
2020-04-01 00:00:00+00:00,72471
2020-04-02 00:00:00+00:00,72901
2020-04-03 00:00:00+00:00,75944
2020-04-04 00:00:00+00:00,79908
2020-04-05 00:00:00+00:00,80692
2020-04-06 00:00:00+00:00,77617
2020-04-07 00:00:00+00:00,68465
2020-04-08 00:00:00+00:00,73849
2020-04-09 00:00:00+00:00,82736
2020-04-10 00:00:00+00:00,84635
2020-04-11 00:00:00+00:00,90778
2020-04-12 00:00:00+00:00,84634
2020-04-13 00:00:00+00:00,77274
2020-04-14 00:00:00+00:00,71545
2020-04-15 00:00:00+00:00,73220
2020-04-16 00:00:00+00:00,76794
2020-04-17 00:00:00+00:00,81839
2020-04-18 00:00:00+00:00,84353
2020-04-19 00:00:00+00:00,78522
2020-04-20 00:00:00+00:00,70764
2020-04-21 00:00:00+00:00,82682
2020-04-22 00:00:00+00:00,72107
2020-04-23 00:00:00+00:00,72752
2020-04-24 00:00:00+00:00,80220
2020-04-25 00:00:00+00:00,89313
2020-04-26 00:00:00+00:00,85505
2020-04-27 00:00:00+00:00,87138
2020-04-28 00:00:00+00:00,73759
2020-04-29 00:00:00+00:00,66321
2020-04-30 00:00:00+00:00,72955
2020-05-01 00:00:00+00:00,85016
2020-05-02 00:00:00+00:00,90560
2020-05-03 00:00:00+00:00,84003
2020-05-04 00:00:00+00:00,86029
